year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,total_sqft,building_ratio,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,encoded_city,encoded_state
1939,0,2,4,2,7,-0.03271723025137525,0.5905688252467064,530000.0,-0.03254882128334782,-0.08093688763866358,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1956,0,0,0,0,10,-0.033310669613082475,-1.607267002579085,76000.0,-0.03376894069578769,-0.923479390594409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1966,0,1,3,2,7,-0.03176767277867108,0.0649993881579302,159900.0,-0.03174912265103183,-0.4796695498304492,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
2016,0,2,4,4,7,-0.03295455150208553,1.9513158769092833,980000.0,-0.032398145527412305,0.6111811640420718,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1981,2,2,3,2,7,-0.03176767277867108,-0.1299390939622704,259900.0,-0.03180470647419792,-0.5314050969823622,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1927,0,3,4,3,7,-0.033429466473369134,2.78458232989367,570000.0,-0.03263546665475378,1.6021112315969632,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1982,2,2,4,3,7,-0.029987354693549413,1.1170938431301893,417000.0,-0.029668816328124653,-0.46496687031731965,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
2000,2,2,4,3,7,-0.03247990900066497,0.628792057034981,396500.0,-0.03230060136715025,-0.15198383764985277,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1977,2,2,4,3,7,-0.03485366644749387,0.42238660537829803,150000.0,-0.034733211039830715,0.016085055750887128,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1969,2,2,4,2,7,-0.032361112140378304,0.35549594974881743,9000.0,-0.032259730908939896,-0.27855363715348086,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1970,2,2,3,2,7,-0.030462269664833015,-0.17676255290290682,255000.0,-0.030512655055307827,-0.6566872504772501,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1950,0,1,2,1,7,-0.03295455150208553,-0.8045791350253176,63500.0,-0.033183948203936775,-0.5773153557139997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1956,0,0,0,0,10,0.11077629842148624,-1.607267002579085,453990.0,0.11031795243677674,-0.923479390594409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
2006,2,1,3,2,7,-0.032361112140378304,1.3397441682968891,455000.0,-0.03197908709589544,0.04485119538992506,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.6818742679360555,-0.7149182906378831
2003,0,1,3,2,7,-0.03259870586095163,-0.0038024290609641287,222000.0,-0.032599773121250064,-0.3410987753631311,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.6818742679360555,-0.7149182906378831
