year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,total_sqft,building_ratio,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,encoded_city,encoded_state
1954,0,1,3,2,7,-0.032697563416219246,-0.38541091611334766,161000.0,-0.38541091611564743,-0.45536051536649574,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1998,0,1,3,2,7,-0.03186622703200357,0.13805648980713708,205000.0,0.13805648980483734,-0.4415837572126086,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1957,0,1,3,2,7,-0.03162874130204232,-0.2274189354173468,162000.0,-0.22741893541964656,-0.571025504773776,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1979,2,2,3,3,7,-0.032103712761964824,-0.049440017404382,225000.0,-0.04944001740668173,-0.4560900730061992,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.681129456520996,-0.7140491744334899
1955,0,1,2,1,7,-0.0329350491461805,-0.8860361079573021,115000.0,-0.8860361079596019,-0.6134236962675013,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.681129456520996,-0.7140491744334899
1940,3,1,4,2,7,-0.03162874130204232,0.4749791474359582,63000.0,0.47497914743365843,-0.3909084926705397,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1954,0,1,3,1,7,-0.032460077686258,-0.5386441022100714,135000.0,-0.5386441022123711,-0.5552532312512249,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
2007,2,1,3,2,7,-0.032222591956296745,-0.2845244706086724,150000.0,-0.28452447061097214,-0.5087883473197284,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.026270384101919585,-0.7140491744334899
1939,0,2,4,2,7,-0.032697563416219246,0.5853831821391877,530000.0,0.585383182136888,-0.08196307198327064,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1966,0,1,3,2,7,-0.03174734783767165,0.061915776218702936,159900.0,0.0619157762164032,-0.4804269873801336,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
