year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,city,state,tags,total_sqft,building_ratio
1947,0,2,3,2,single_family,8030.0,1526.0,450000.0,Annapolis,Maryland,"['central_air', 'dining_room', 'disability_features', 'dishwasher', 'fireplace', 'hardwood_floors', 'basement', 'two_or_more_stories', 'marina']",9556.0,0.1900373599003736
1967,2,2,4,3,single_family,20300.0,2433.0,1195000.0,Annapolis,Maryland,"['central_air', 'central_heat', 'fireplace', 'recreation_facilities', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'farm', 'ranch', 'water_view', 'clubhouse', 'playground', 'views', 'marina']",22733.0,0.11985221674876848
1965,0,2,3,2,condos,0.0,1096.0,219000.0,Annapolis,Maryland,"['central_air', 'dining_room', 'forced_air', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'fenced_yard', 'shopping']",1096.0,0.3272722368594926
1986,0,1,2,2,condos,0.0,1280.0,518444.0,Annapolis,Maryland,"['central_air', 'dishwasher', 'fireplace', 'forced_air', 'hardwood_floors', 'recreation_facilities', 'view', 'washer_dryer', 'community_swimming_pool', 'single_story', 'waterfront', 'gated_community', 'tennis', 'trails', 'beach', 'security', 'shopping']",1280.0,0.3272722368594926
2009,0,1,2,2,condos,0.0,1157.0,395000.0,Annapolis,Maryland,"['central_air', 'community_elevator', 'disability_features', 'dishwasher', 'hardwood_floors', 'recreation_facilities', 'senior_community', 'washer_dryer', 'community_swimming_pool', 'single_story', 'granite_kitchen', 'high_ceiling', 'clubhouse']",1157.0,0.3272722368594926
1975,0,3,4,2,single_family,9000.0,1860.0,430000.0,Annapolis,Maryland,"['central_air', 'dishwasher', 'fireplace', 'forced_air', 'recreation_facilities', 'washer_dryer', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'big_yard', 'new_roof', 'shopping']",10860.0,0.20666666666666667
2007,3,3,4,5,single_family,15865.0,5766.0,895000.0,Annapolis,Maryland,"['central_air', 'fireplace', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'open_floor_plan', 'floor_plan', 'new_roof']",21631.0,0.3634415379766782
1973,1,3,3,3,single_family,9000.0,2016.0,600000.0,Annapolis,Maryland,"['central_air', 'dishwasher', 'fireplace', 'forced_air', 'hardwood_floors', 'washer_dryer', 'two_or_more_stories', 'garage_1_or_more', 'vaulted_ceiling', 'front_porch']",11016.0,0.224
1969,0,1,2,2,condos,0.0,1016.0,287500.0,Annapolis,Maryland,"['central_air', 'disability_features', 'dishwasher', 'forced_air', 'recreation_facilities', 'washer_dryer', 'community_swimming_pool', 'single_story', 'granite_kitchen', 'updated_kitchen', 'modern_kitchen', 'large_kitchen', 'basketball_court', 'tennis_court', 'ensuite', 'clubhouse', 'tennis', 'basketball', 'marina', 'shopping']",1016.0,0.3272722368594926
1974,0,2,2,2,condos,0.0,1391.0,999999.0,Annapolis,Maryland,"['central_air', 'fireplace', 'forced_air', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'waterfront', 'vaulted_ceiling', 'clubhouse', 'tennis', 'views', 'marina']",1391.0,0.3272722368594926
1988,1,2,3,3,townhomes,2040.0,2092.0,520000.0,Annapolis,Maryland,"['central_air', 'dining_room', 'disability_features', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'recreation_facilities', 'senior_community', 'washer_dryer', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'pond', 'golf_course', 'tennis']",4132.0,1.0254901960784313
1965,0,2,2,1,single_family,10000.0,2580.0,430000.0,Annapolis,Maryland,"['central_air', 'central_heat', 'dining_room', 'disability_features', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'recreation_facilities', 'washer_dryer', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'big_yard', 'fenced_yard', 'library', 'marina', 'beach']",12580.0,0.258
1978,2,2,4,3,single_family,15028.0,1590.0,550000.0,Annapolis,Maryland,"['central_air', 'dining_room', 'dishwasher', 'fireplace', 'forced_air', 'hardwood_floors', 'washer_dryer', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'open_floor_plan', 'floor_plan', 'big_lot', 'views', 'groundscare']",16618.0,0.10580250199627363
1987,0,1,2,2,condos,0.0,1103.0,343000.0,Annapolis,Maryland,"['central_air', 'recreation_facilities', 'community_swimming_pool', 'single_story']",1103.0,0.3272722368594926
1977,0,3,4,2,single_family,6501.0,1560.0,420000.0,Annapolis,Maryland,"['central_air', 'disability_features', 'dishwasher', 'fireplace', 'forced_air', 'washer_dryer', 'basement', 'two_or_more_stories', 'investment_opportunity', 'park', 'golf_course', 'shopping']",8061.0,0.23996308260267651
