year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,total_sqft,building_ratio,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,encoded_city,encoded_state
2019,2,1,4,2,7,16988.0,2080.0,359500.0,19068.0,0.12243936896632918,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,238452.14,233151.6
1998,0,1,3,2,7,10890.0,1830.0,205000.0,12720.0,0.16804407713498623,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
1957,0,1,3,2,7,11761.0,1446.0,162000.0,13207.0,0.12294872884958762,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
2018,3,3,4,5,7,139828.0,3928.0,1170000.0,143756.0,0.028091655462425265,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,238452.14,233151.6
1979,2,2,3,3,7,10019.0,1633.0,225000.0,11652.0,0.1629903183950494,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,238452.14,233151.6
1955,0,1,2,1,7,6970.0,754.0,115000.0,7724.0,0.10817790530846486,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,238452.14,233151.6
1940,3,1,4,2,7,11761.0,2184.0,63000.0,13945.0,0.18569849502593316,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
1954,0,1,3,1,7,8712.0,1119.0,135000.0,9831.0,0.1284435261707989,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,238452.14,233151.6
2007,2,1,3,2,7,9583.0,1386.0,150000.0,10969.0,0.1446311176040906,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,403947.51,233151.6
1939,0,2,4,2,7,7841.0,2300.0,530000.0,10141.0,0.2933299324065808,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,238452.14,233151.6
1956,0,0,0,0,10,5663.0,0.0,76000.0,5663.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
1966,0,1,3,2,7,11326.0,1750.0,159900.0,13076.0,0.15451174289245984,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
2016,0,2,4,4,7,6970.0,3724.0,980000.0,10694.0,0.5342898134863702,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
1981,2,2,3,2,7,11326.0,1546.0,259900.0,12872.0,0.13650008829242452,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,238452.14,233151.6
1927,0,3,4,3,7,5227.0,4596.0,570000.0,9823.0,0.8792806581212933,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
1982,2,2,4,3,7,17860.0,2851.0,417000.0,20711.0,0.15963045912653975,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,238452.14,233151.6
2000,2,2,4,3,7,8712.0,2340.0,396500.0,11052.0,0.26859504132231404,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
1977,2,2,4,3,7,0.0,2124.0,150000.0,2124.0,0.3272722368594926,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,238452.14,233151.6
1969,2,2,4,2,7,9148.0,2054.0,9000.0,11202.0,0.2245299519020551,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
